S.No,Business Type,Property Count
1,coworkingSpacePropertiesCount,3
2,individualHouseVillaCount,12502
3,verifiedPropertiesCount,1663
4,verifiedSalePropertiesCount,2045
5,ExclusiveOwnersCountRent,14514
6,newProjectsCount,1000
7,plotsCount,14822
8,commercialOwnerPostedPropertiesCount,5634
9,readyToMoveFlatsCount,42665
10,fullyFurnishedhomesCount,2828
11,furnishedOfficeSpacesCount,3336
12,furnishedPropertiesCount,4855
13,premiumHomesByOwnersCount,15134
14,commercialLandCount,1044
15,pgCount,0
16,commercialShopCount,1743
17,budgetHomesCount,1458
18,postedByOwnersCount,50882
19,immediatelyAvailPropertiesCount,26131
20,ExclusiveOwnersCountSale,41345
21,luxuryPropertyCount,36037
22,premiumProjectsCount,893
23,ownerPostedPropertiesCount,14596
24,spaciousVillaHomesCount,8972
